sr_no,bank_name,total_volume_mn,approved_pct,bd_pct,td_pct,reversal_count_mn,reversal_success_pct,source_month
26,The Jammu & Kashmir Bank Limited,106.40,88.64%,5.56%,5.79%,2.28,11.94%,07
27,Karur Vysya Bank,95.01,92.55%,6.64%,0.81%,0.39,65.16%,07
28,Bandhan Bank limited,90.18,93.92%,5.41%,0.67%,0.39,82.42%,07
29,AU Small Finance Bank,77.71,89.21%,10.11%,0.68%,0.34,70.50%,07
30,The South Indian Bank Limited,72.87,94.68%,5.08%,0.24%,0.15,99.26%,07
31,JIO Payments Bank Ltd,58.03,86.07%,12.54%,1.39%,0.53,84.05%,07
32,Punjab and Sind Bank,57.19,90.96%,8.17%,0.87%,0.33,76.20%,07
33,City Union Bank,56.65,92.30%,7.56%,0.14%,0.13,99.87%,07
34,Tamilnad Mercantile Bank Limited,55.91,91.44%,7.29%,1.27%,0.24,67.84%,07
35,Ujjivan Small Finance Bank Limited,54.99,89.92%,8.92%,1.16%,0.19,80.13%,07
36,Baroda U.P. Bank,48.24,92.71%,5.61%,1.68%,0.32,56.53%,07
37,Kerala Gramin Bank,46.93,91.33%,7.04%,1.64%,0.42,85.31%,07
38,NSDL Payments Bank Limited,45.70,84.88%,14.23%,0.89%,0.30,74.60%,07
39,Telangana Grameena Bank,40.36,88.11%,10.35%,1.54%,0.38,56.78%,07
40,Maharashtra Gramin Bank,37.37,84.63%,13.82%,1.56%,0.20,62.99%,07
41,Rajasthan Marudhara Gramin Bank,36.15,85.28%,12.34%,2.38%,0.32,40.95%,07
42,Karnataka Gramin Bank,34.96,89.09%,10.03%,0.88%,0.19,91.19%,07
43,ESAF Small Finance Bank Ltd,33.38,95.70%,4.26%,0.04%,0.09,97.84%,07
44,Andhra Pragathi Grameena Bank,31.91,82.27%,13.96%,3.78%,0.28,32.42%,07
45,DBS Bank India Limited,31.81,93.09%,6.76%,0.15%,0.08,95.78%,07
46,RBL Bank Ltd.,31.22,92.43%,7.09%,0.48%,0.10,79.93%,07
47,Equitas Small Finance Bank,30.07,91.14%,8.86%,0.01%,0.08,99.28%,07
48,Saraswat Co-operative Bank,29.63,94.75%,5.11%,0.15%,0.06,96.44%,07
49,Sarva Haryana Gramin Bank,26.28,94.29%,4.70%,1.01%,0.18,57.32%,07
50,Standard Chartered Bank,23.69,95.49%,4.22%,0.30%,0.06,69.11%,07
1,State Bank of India,"5,833.74",91.89%,7.54%,0.57%,18.25,97.54%,12
2,HDFC Bank Ltd.,"1,654.30",94.30%,5.67%,0.03%,3.88,92.97%,12
3,Bank of Baroda,"1,514.50",89.57%,10.32%,0.11%,5.36,98.90%,12
4,Union Bank of India,"1,346.98",90.75%,8.66%,0.58%,5.47,67.95%,12
5,Punjab National Bank,"1,206.23",89.29%,10.15%,0.56%,5.64,89.78%,12
6,Axis Bank Ltd.,"1,107.12",94.87%,5.12%,0.01%,2.11,99.69%,12
7,Canara Bank,"1,076.87",90.95%,8.24%,0.80%,4.54,76.40%,12
8,Kotak Mahindra Bank,"1,075.99",90.79%,9.19%,0.01%,3.01,96.27%,12
9,ICICI Bank Ltd.,777.48,95.74%,4.20%,0.05%,1.40,97.08%,12
10,India Post Payments Bank Limited,770.88,84.39%,14.98%,0.63%,4.63,92.76%,12
11,Indian Bank,728.78,91.08%,8.69%,0.22%,2.51,92.97%,12
12,Airtel Payments Bank Limited,713.93,80.83%,18.93%,0.24%,4.42,93.44%,12
13,Bank Of India,675.44,92.49%,7.29%,0.22%,2.58,94.40%,12
14,Indian Overseas Bank,373.86,91.34%,7.65%,1.01%,1.21,69.35%,12
15,Central Bank of India,361.51,89.74%,9.46%,0.81%,2.29,82.16%,12
16,UCO Bank,311.19,89.39%,10.46%,0.15%,1.31,86.85%,12
17,Federal Bank Ltd.,287.32,92.27%,7.62%,0.11%,0.65,95.84%,12
18,Fino Payments Bank Ltd.,257.61,81.75%,17.75%,0.51%,1.41,89.47%,12
19,Bank of Maharashtra,241.41,92.50%,7.23%,0.27%,0.78,75.21%,12
20,Indusind Bank Ltd.,232.46,87.60%,12.15%,0.25%,1.03,76.41%,12
21,IDBI Bank Ltd.,216.21,92.87%,6.73%,0.40%,0.70,74.23%,12
22,Yes Bank Ltd.,182.31,90.49%,9.39%,0.12%,0.34,87.17%,12
23,Karnataka Bank,158.04,91.61%,8.24%,0.15%,0.54,94.62%,12
24,Tri O Tech Solutions Private Limited,157.89,100.00%,0.00%,0.00%,-,0.00%,12
25,IDFC Bank Ltd.,126.76,92.29%,7.68%,0.03%,0.33,88.23%,12
26,The Jammu & Kashmir Bank Limited,107.49,92.54%,6.96%,0.50%,0.63,77.36%,12
27,Karur Vysya Bank,102.37,92.51%,7.37%,0.12%,0.30,84.63%,12
28,BANDHAN BANK LIMITED,97.47,95.42%,4.58%,0.00%,0.43,97.99%,12
29,JIO Payments Bank Ltd,85.37,80.99%,16.26%,2.75%,1.08,97.16%,12
30,AU Small Finance Bank,85.25,88.18%,11.66%,0.16%,0.35,91.62%,12
31,The South Indian Bank Limited,81.38,94.38%,5.58%,0.04%,0.15,99.04%,12
32,Uttar Pradesh Gramin Bank,71.45,91.42%,4.52%,4.06%,1.04,45.06%,12
33,NSDL Payments Bank Limited,67.06,79.15%,18.67%,2.19%,0.86,76.31%,12
34,Punjab and Sind Bank,62.97,87.64%,10.95%,1.41%,0.52,60.95%,12
35,Tamilnad Mercantile Bank Limited,62.47,91.74%,7.44%,0.83%,0.25,70.90%,12
36,City Union Bank,61.25,91.82%,8.11%,0.07%,0.15,95.68%,12
37,Ujjivan Small Finance Bank Limited,59.73,88.34%,11.50%,0.16%,0.21,94.27%,12
38,Kerala Gramin Bank,55.20,92.26%,7.43%,0.31%,0.21,67.92%,12
39,Rajasthan Gramin Bank,54.91,84.05%,12.66%,3.29%,0.69,50.33%,12
40,Karnataka Gramin Bank,53.94,88.85%,10.88%,0.27%,0.22,77.66%,12
41,Slice Small Finance Bank,48.39,95.36%,4.51%,0.12%,0.22,90.62%,12
42,Telangana Grameena Bank,47.72,88.63%,10.65%,0.71%,0.19,90.13%,12
43,Andhra Pradesh Grameena Bank,39.67,91.41%,7.66%,0.93%,0.23,55.25%,12
44,Maharashtra Gramin Bank,39.27,84.54%,13.94%,1.52%,0.26,37.41%,12
45,ESAF Small Finance Bank Ltd,36.95,95.86%,3.85%,0.30%,0.12,96.96%,12
46,Saraswat Co-operative Bank,33.09,94.17%,5.28%,0.56%,0.10,70.21%,12
47,DBS Bank India Limited,32.42,91.93%,8.02%,0.05%,0.08,95.64%,12
48,RBL Bank Ltd.,31.79,92.57%,7.36%,0.07%,0.06,89.37%,12
49,Equitas Small Finance Bank,29.61,90.25%,9.74%,0.01%,0.09,99.47%,12
50,Sarva Haryana Gramin Bank,27.78,91.17%,6.97%,1.87%,0.38,45.62%,12
1,State Bank of India,"5,531.27",92.89%,6.56%,0.55%,16.13,93.05%,10
2,HDFC Bank Ltd.,"1,638.91",95.09%,4.89%,0.02%,3.91,98.04%,10
3,Bank of Baroda,"1,438.02",91.21%,8.75%,0.04%,4.34,99.10%,10
4,Union Bank of India,"1,282.39",92.53%,7.43%,0.04%,3.56,93.12%,10
5,Punjab National Bank,"1,156.34",90.06%,9.73%,0.21%,4.31,88.88%,10
6,Kotak Mahindra Bank,"1,031.11",92.04%,7.93%,0.03%,2.55,97.62%,10
7,Canara Bank,"1,014.04",92.52%,7.42%,0.06%,2.56,95.72%,10
8,Axis Bank Ltd.,954.46,94.92%,5.08%,0.00%,2.00,98.81%,10
9,ICICI Bank Ltd.,769.72,95.94%,4.05%,0.01%,1.39,99.60%,10
10,India Post Payments Bank Limited,712.41,85.72%,13.54%,0.74%,3.80,81.92%,10
11,Indian Bank,687.32,92.42%,7.47%,0.11%,1.80,95.19%,10
12,Airtel Payments Bank Limited,671.92,83.17%,16.77%,0.06%,2.95,99.32%,10
13,Bank Of India,642.99,93.23%,6.46%,0.31%,2.64,89.57%,10
14,Indian Overseas Bank,350.56,93.12%,6.82%,0.07%,1.02,97.18%,10
15,Central Bank of India,333.63,90.91%,8.58%,0.51%,1.50,88.89%,10
16,UCO Bank,296.04,90.21%,9.46%,0.33%,1.15,91.39%,10
17,Federal Bank Ltd.,273.16,93.13%,6.84%,0.04%,0.54,99.49%,10
18,Fino Payments Bank Ltd.,248.52,83.26%,14.88%,1.86%,1.09,88.62%,10
19,Bank of Maharashtra,230.93,93.50%,6.37%,0.13%,0.65,86.53%,10
20,Indusind Bank Ltd.,225.19,88.93%,10.76%,0.31%,0.97,69.45%,10
21,IDBI Bank Ltd.,210.68,93.70%,5.93%,0.37%,0.63,76.49%,10
22,Yes Bank Ltd.,189.91,91.86%,8.05%,0.09%,0.33,85.78%,10
23,Karnataka Bank,147.34,92.27%,7.53%,0.20%,0.57,93.86%,10
24,Tri O Tech Solutions Private Limited,145.04,100.00%,0.00%,0.00%,-,0.00%,10
25,IDFC Bank Ltd.,121.18,92.94%,6.95%,0.12%,0.31,91.77%,10
26,The Jammu & Kashmir Bank Limited,103.76,92.63%,6.05%,1.32%,0.73,47.98%,10
27,Karur Vysya Bank,95.19,92.21%,7.40%,0.38%,0.27,78.50%,10
28,BANDHAN BANK LIMITED,94.16,94.98%,4.68%,0.34%,0.37,98.35%,10
29,AU Small Finance Bank,82.21,87.77%,10.42%,1.81%,0.63,42.32%,10
30,The South Indian Bank Limited,76.87,94.75%,5.19%,0.06%,0.14,97.24%,10
31,JIO Payments Bank Ltd,71.17,85.77%,13.86%,0.37%,0.55,94.36%,10
32,Punjab and Sind Bank,61.44,86.20%,8.82%,4.98%,0.77,42.63%,10
33,Uttar Pradesh Gramin Bank,61.35,89.55%,5.84%,4.61%,0.89,46.50%,10
34,NSDL Payments Bank Limited,58.08,82.56%,17.11%,0.33%,0.37,90.05%,10
35,City Union Bank,57.97,92.33%,7.51%,0.16%,0.13,99.47%,10
